filenames,max_err,max_temp,obs_int,observation,chs,ohs,ohs_int
SNL_NMC_Graphite_10Ah_0SOC_c,82.93246459960938,37.50844955,-1,,,,-1
SNL_LFP_Graphite_10Ah_90SOC_b,57.36201095581055,28.2755527496338,-1,,,,-1
SNL_LMO-LNO_Graphite_33Ah_75SOC_b,6501.80078125,160.8,-1,,,,-1
SNL_LMO-LNO_Graphite_33Ah_100SOC_b,124132.7734375,489.0,-1,,,,-1
SNL_LFP_Graphite_10Ah_90SOC_a,128.4370574951172,39.7300338745117,-1,,,,-1
SNL_LMO-LNO_Graphite_33Ah_75SOC_a,41201.13671875,279.2,-1,,,,-1
SNL_LMO-LNO_Graphite_33Ah_100SOC_a,53732.5625,289.1,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_75SOC_a,602.0721435546875,53.1,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_100SOC_a,314367.40625,656.4,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_90SOC_a,235437.203125,767.5,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_90SOC_c,40789.61328125,253.8,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_75SOC_b,883.99853515625,58.3,-1,,,,-1
OE-LFP10Ah-100SOC-Cell16,649.6115112304688,53.86693,-1,,,,-1
OE-10Ahr-NMC-40SOC-cell5,313.6572570800781,46.18227,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_100SOC_b,248401.78125,571.3,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_90SOC_b,197.60482788085938,42.5,-1,,,,-1
SNL_LCO_Graphite_6.4Ah_50SOC_b,596.8863525390625,52.8381385803223,-1,,,,-1
SNL_NMC_Graphite_10Ah_50SOC_a,424.0919494628906,49.00147629,-1,,,,-1
SNL_LFP_Graphite_10Ah_70SOC_a,70.17914581298828,35.1820220947266,-1,,,,-1
SNL_LCO_Graphite_6.4Ah_50SOC_a,497.95751953125,50.7258071899414,-1,,,,-1
SNL_NMC_Graphite_10Ah_50SOC_b,192.2607879638672,42.2808609,-1,,,,-1
SNL_NMC_Graphite_10Ah_50SOC_c,230.52578735351562,43.59642029,-1,,,,-1
SNL_LFP_Graphite_10Ah_70SOC_b,76.47736358642578,31.0576877593994,-1,,,,-1
SNL_LCO_Graphite_6.4Ah_0SOC_b,103.52262115478516,32.1294479370117,-1,,,,-1
SNL_LCO_Graphite_6.4Ah_0SOC_a,1294.628173828125,64.4357147216797,-1,,,,-1
OE-LFP10Ah-100SOC-Cell16-original,649.6115112304688,53.86693,-1,,,,-1
SNL_NMC_Graphite_10Ah_90SOC_b,138134.203125,406.3574524,-1,,,,-1
SNL_LCO_Graphite_6.4Ah_90SOC_a,139157.6875,401.616729736328,-1,,,,-1
OE-LFP10Ah-80SOC-Cell15-origina,637.8822021484375,53.65614,-1,,,,-1
SNL_LFP_Graphite_10Ah_0SOC_a,37.686302185058594,24.6296653747559,-1,,,,-1
SNL_NMC_Graphite_10Ah_90SOC_a,116357.734375,369.8128662,-1,,,,-1
SNL_LCO_Graphite_6.4Ah_90SOC_b,41689.171875,237.570587158203,-1,,,,-1
SNL_LFP_Graphite_10Ah_0SOC_b,44.635704040527344,23.3152446746826,-1,,,,-1
SNL_NMC-LMO_Graphite_26Ah_85SOC_b,199041.03125,592.6,-1,,,,-1
SNL_LMO-LNO_Graphite_33Ah_50SOC_b-copy,53644.28125,263.4,-1,,,,-1
OE-LFP10Ah-60SOC-Cell17,639.8824462890625,53.6833,-1,,33.2,Moderate,2
OE-LCo-6470mAh-60SOC,14852.2158203125,150.2427,-1,,89.1,High,3
SNL_NMC-LMO_Graphite_26Ah_85SOC_a,75145.6484375,309.0,-1,,,,-1
